patient,group,mediaPosX,mediaPosY,mediaPosZ,mediaAngX,mediaAngY,mediaAngZ,stdPosX,stdPosY,stdPosZ,stdAngX,stdAngY,stdAngZ,kurPosX,kurPosY,kurPosZ,kurAngX,kurAngY,kurAngZ,skwPosX,skwPosY,skwPosZ,skwAngX,skwAngY,skwAngZ
29,A,0.341293372606779,0.0794931958762887,0.028986332842415,17.0864805657585,-34.2385288978646,-17.1685841148748,0.296699784761421,0.132708757900806,0.163192367389372,16.1218040809987,66.8613325368668,20.6641282705649,3.30820319672583,19.9615024969726,2.07094152953598,6.83057791685057,4.0856559457298,9.62054975023183,-0.0557964169061416,-3.92371569403924,-0.208298805047892,-0.592078627799562,1.292475602083,1.97946112651403
30,A,-0.305503510171514,0.00564718787395272,-0.018486637415239,1.68911437365776,-70.171128197479,17.6796880606302,0.210208758671732,0.16517726902508,0.189325115403549,22.2592293444344,71.2371816887908,26.429364459632,4.14665427721786,8.89415445183615,4.01600362998263,3.3888202894871,2.52987440342015,5.55355072081566,0.380257578328569,-2.38045985682456,0.85920338882148,1.03773085788898,0.513382624514843,0.696618581871665
31,A,0.000781686746992852,-0.00196409638554224,0.033322168674701,-22.8340286598554,-20.9534290706819,6.70924902891568,0.34595963897193,0.153474793788293,0.164573516661197,23.7508591978573,72.6615207791082,27.5033692738941,2.35945695880752,7.87506150126787,4.67303423505047,3.27523086974672,3.09020941092687,2.06251470598674,-0.123992234238078,-2.15876531458115,1.12426906009993,-0.335540507111617,0.581339293453119,-0.133589101270147
32,A,-0.245260516577437,-0.00409662252277644,-0.174946730534425,13.4362829941316,13.3988507032686,18.9923419348174,0.30695238223282,0.190696149850623,0.150219930406422,25.4046236929335,81.1009358030087,30.3796829424398,3.45764440549973,7.40391613994693,3.17149213702007,2.83794945187594,3.06724232230961,2.28818159965599,-0.575128332359032,-2.08698718151201,0.31907900639158,-0.134160914999821,-0.280699875553111,0.290386146592207
33,A,-0.132114282744283,0.141379126819127,-0.248869532224527,19.2765482469569,-12.5672719443087,38.1903864261954,0.304373551955962,0.147168257447281,0.225108102661469,16.7803875356286,81.4151502469308,25.1794882239548,4.28291220164595,8.26929635300194,3.52655923781107,5.12202968412632,2.94559757891926,2.10919539833612,-0.870758025058176,-2.16883245129812,0.898015892943082,-0.513508003082468,0.0146851028511327,-0.0624930447017134
34,A,-0.17175569948186,0.172954313471503,0.30342146373057,-21.243014057296,24.514090748057,13.963373773316,0.217131441712477,0.183132582594392,0.326244405599092,20.7924103471001,78.8544346621962,22.297910808747,3.06880566255849,5.77023487061126,2.9033138502149,2.28988800083115,2.64466151632882,4.79265836934243,0.659899996395895,-1.75431068238962,0.239593763139218,0.282739980825124,-0.476718026274864,-0.277618820305027
35,A,-0.0766006164553809,0.0283457767834948,0.164242724335072,-30.8231559416605,1.79733169460601,3.42766633905046,0.193598137792068,0.218547293581531,0.264202910955707,24.5995938168275,86.5450879483171,33.3418972054885,5.10458426520061,7.9650101042523,3.97376407886745,2.39434047142078,2.39017087564826,4.48455416382459,1.32984288621448,-2.27466552561253,0.535554369197934,0.366629325328973,-0.0467143328253831,-0.612823365562148
36,A,0.0507300775193764,0.0588886821705427,0.256720310077526,-22.2995301694884,-24.9161019178294,-7.48017207131782,0.311849163132876,0.205910051248096,0.398351019799234,29.0924573819051,91.0061906387569,29.8430027519731,3.30279134750478,5.65701220539859,2.51325553655934,2.93940981069329,2.36277588288925,4.53838719274213,0.454634952045068,-1.76183091348676,0.209146670220768,0.252264230333099,0.535458664576838,-0.0425513289301715
37,A,-0.215242029887926,0.0972065379825651,-0.190181382316313,23.0166549276339,17.6206996365816,12.8895649788294,0.326719502859929,0.216797305301559,0.275503568165342,21.8747605132023,77.2061089829217,27.8552426492032,3.94289475931096,5.31291330802108,6.07238000699399,4.04616299382825,2.90399859995356,1.91189811392222,-0.763390703985693,-1.77408181670535,1.40626163635993,-1.04541712056167,-0.348010869022044,-0.459142078278827
38,A,-0.0246070240870229,-0.0116989277389278,-0.10993858585858,38.7973390199883,20.4410751188034,1.42400857031858,0.26486770451768,0.213751782558658,0.184681640155048,19.3687964123729,70.9942475944961,24.7165050347,5.56406296513551,7.82288280748342,3.04672889974518,5.38632841903504,3.72041658373778,2.62534315289774,-0.753205107412137,-2.26285001918959,0.77102622744805,-0.481880233520214,-0.583126609776342,-0.571014948612923
39,A,-0.149100294117644,0.0659347058823527,-0.100932941176466,112.905255263712,4.47089293776477,11.5695450882353,0.323738583859764,0.189738498033433,0.204363792169848,18.5392895346588,79.0301933317788,23.7400744928335,5.2929762078026,4.42714240697222,2.38590110062262,2.99116795951638,3.32273984991634,1.74125644872926,-0.863051849711756,-1.40183790843665,0.595113490202837,0.0616987793168454,-0.443484875059454,0.139564325464062
40,A,-0.127508366583546,0.0757659850374063,-0.265620897755612,26.7111894332606,3.02290496920203,33.058992803616,0.314078898595183,0.180475357115768,0.182817259563217,23.0813678240898,78.643599639266,33.6399295644384,3.32445449899758,12.2320369541971,3.68487316860018,2.46036061703321,3.10396472712088,3.61438716446424,-0.695443292577693,-3.05299651606446,-0.0790615614610388,-0.488967371198453,0.129182954343632,-0.705486467841514
41,A,-0.0842934393638219,0.161858578528827,-0.310421312127233,-38.1408367137575,29.6971241507406,35.5158297534792,0.232663929986747,0.181439470786818,0.221173359320573,19.2615739877486,114.589532355296,35.1814493564791,5.30225467209725,5.89463313477296,3.42954742225229,4.05780817382805,1.72091387912815,3.32905443028079,-0.254422395101192,-1.55407102398845,-0.221689532884031,-0.0550783193408267,-0.475417373459259,0.482772363137046
